id,Date,Index,price
166,4/1/2019,VFINX,272.130005
167,5/1/2019,DJI,24815.03906
168,5/1/2019,GSPC,2752.060059
169,5/1/2019,VFINX,254.809998
170,6/1/2019,DJI,26599.96094
171,6/1/2019,GSPC,2941.76001
172,6/1/2019,VFINX,271.410004
173,7/1/2019,DJI,26864.26953
174,7/1/2019,GSPC,2980.379883
175,7/1/2019,VFINX,275.279999
176,8/1/2019,DJI,26403.2793
177,8/1/2019,GSPC,2926.459961
178,8/1/2019,VFINX,270.899994
179,9/1/2019,DJI,26916.83008
180,9/1/2019,GSPC,2976.73999
181,9/1/2019,VFINX,274.709991
182,10/1/2019,DJI,27046.23047
183,10/1/2019,GSPC,3037.560059
184,10/1/2019,VFINX,280.630005
185,11/1/2019,DJI,28051.41016
186,11/1/2019,GSPC,3140.97998
187,11/1/2019,VFINX,290.790009
188,12/1/2019,DJI,28538.43945
189,12/1/2019,DJI,28538.43945
190,12/1/2019,GSPC,3230.780029
191,12/1/2019,VFINX,298.160004
